,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features,sector
808,house,,2.7,18620.0,1450.0,Plot area 1450(134.71 sq.m.),5.0,5.0,2,,3.0,East,10+ Year Old,"['HUDA Sector 23 Market', 'Palam triangle', 'Palam Vihar Vyapar kendra', 'Ram Mandir', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Metro Hospital and Heart Institute Gurgaon', 'SP Infocity', 'HUDA sector 23 parking', 'Ansals Plaza above ground car parking', 'Ansals plaza underground car parking', 'Punjab national bank', 'Oriental bank of commerce', 'Axis bank', 'Big Cinemas', 'Om Sweets', 'Pind Baluchi', ""Domino's Pizza"", 'Moti Mahal', 'Pizza Hut', 'Cafe Coffee Day', ""McDonald's"", 'Swiss Cottage school', 'THE NORTHCAP UNIVERSITY', 'Masti ki Pathshala Teach India', 'Chiranjiv Bharati School', 'Palam vihar railway station', 'Bijwasan railway station']","['9 Fan', '1 Exhaust Fan', '5 Geyser', '18 Light', '1 Modular Kitchen', '4 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Park', 'Spacious Interiors']",sector 23
809,house,,2.3,17014.0,1352.0,Plot area 160(133.78 sq.m.),4.0,4.0,3,,2.0,East,10+ Year Old,"['Chintapurni Mandir', 'State bank ATM', 'Kr Dental Hub', 'Prateek Nursing Home And Polyclinic', 'Shree Krishna Hospital Gurgaon', 'Dr. Ashok Jain', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Pearl Dental Clinic', 'Esic Hospital Gurugram', 'Sarvodya Hospital', 'Taneja Hospital', 'Gurgaon Eye Centre', 'Sneh Hospital Gurgaon', 'Aryan Hospital', 'Dr. Sindhu Clinic', 'Geeta Nursing Home Gurgaon', 'Dr. Hitesh Dawar', 'D.R. Rajnis Gupta Clinic', 'Dr. Madan Clinic', 'Ravi Clinic and Health Care Centre', 'Chiranjiv Hospital', 'Sparsh Hospital Gurgaon', 'Yashroop Medical Centre', 'Dr. Mittal Clinic', 'Dev Man Kathuria Clinic', 'Jiya Clinic', 'Bhatnagar Maternity and Nursing Home', 'Swastik Maternity and Medical Centre', ""Dr. Anurag's Child Care Clinic"", 'Bindal Clinic', 'Bhardwaj Hospital', 'Satyam Hospital Gurgaon', 'M.S Hospital', 'My Care Clinic', 'Dr. Agya Ram Sharma Clinic', 'Triveni Hospital Gurgaon', 'Dr. Sarvejeet Singh', 'GH Gurgaon', 'Shiv Mahima Patient Care Bureau', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']","['4 Wardrobe', '6 Fan', '1 Exhaust Fan', '4 Geyser', '9 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Park', 'Visitor Parking', 'Club house / Community Center']",sector 4
810,house,BPTP Pedestal,0.92,7750.0,1187.0,Carpet area: 1187 (110.28 sq.m.),2.0,3.0,3+,Others,3.0,North-East,0 to 1 Year Old,"['Ninex Mall', 'Airia Mall', 'Meditree Market', 'OMAXE Gurgaon Mall', 'Shaheed Bhagat Singh Chowk', 'Sohna Rd', ""St. Angel's Global"", 'Kunskapsskolan International', 'ISKCON', 'HDFC Bank ATM', 'Ektaa Hospitals', 'Oriental Bank of Commerce', 'De Adventure Park', 'Urusvati Museum Of Folklore', 'Leopard hills']","['3 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",sector 70a
811,house,BPTP Astaire Gardens3.7 ★,1.04,7172.0,1450.0,Carpet area: 1450 (134.71 sq.m.),3.0,3.0,3+,Others,2.0,North-East,1 to 5 Year Old,"['Sector 54 Chowk Metro Station', 'Airia Mall', 'Southern Peripheral Road', 'Badshahpur Sohna Rd Hwy', 'Kunskapsskolan International School', 'DPG Degree College', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Intellion Edge', 'Hyatt Regency Gurgaon', 'De Adventure Park', 'Tau DeviLal Sports Complex']","['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '3 Geyser', '10 Light', '1 Chimney', '1 Modular Kitchen', '5 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",sector 70a
813,house,,15.0,33333.0,4500.0,Plot area 500(418.06 sq.m.),5.0,5.0,3+,Servant Room,4.0,,5 to 10 Year Old,"['Rajiv Chowk Mosque', 'State bank of india ATM', 'Axis bank ATM', 'Icici bank ATM', 'Hdfc bank ATM', 'State bank of india ATM', 'Icici ATM', 'Citi bank ATM', 'Axis bank ATM', 'Hdfc ATM', 'Dispencery', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Sukhmani Hospital Pvt. Ltd', 'Medanta', 'Bansal Medicare and Maternity Centre', 'Samvit Health Care', 'Shivam Hospital Gurgaon', 'Pushpanjali Hospital Gurgaon', 'Pushpanjali Hospital', 'Dayal Eye & Maternity Centre', 'Ahmed Hospital Multi Speciality', 'Gurgaon Election Commission', 'Road and Traffic Authority', 'Gardian Pharmacy', 'Pernod Ricard Charitable Dispensary', 'City Medical', 'Gardian Pharmacy', 'IBP Petrol Pump', 'India Oil', 'Hdfc bank', 'SRS Cinemas', 'KFC', 'Raj Restaurant', 'Om Sweets', 'Fast food', 'Fast Food', 'Bar and restaurant', 'Darbar', 'Cafe Coffee Day', '32nd Milestone', 'CR Model Public School', 'Manav Rachna School', 'Delhi Public School Primary Section', 'St. Angels Jr', 'Amity Global School', 'St. Angels Sr', 'Kendriya Vidyalaya No.2 Sohna Road', 'School of Inspired Leadership SOIL', 'Manav Rachna Swimming Pool']","['5 Wardrobe', '5 Fan', '1 Exhaust Fan', '5 Geyser', '5 Light', '5 AC', '5 TV', '1 Chimney', '5 Curtains', 'No Bed', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Rain Water Harvesting']",sector 39
814,house,BPTP Astaire Gardens3.7 ★,1.18,8137.0,1450.0,Carpet area: 1450 (134.71 sq.m.),3.0,3.0,3+,Others,2.0,North-East,1 to 5 Year Old,"['Sector 54 Chowk Metro Station', 'Airia Mall', 'Southern Peripheral Road', 'Badshahpur Sohna Rd Hwy', 'Kunskapsskolan International School', 'DPG Degree College', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Intellion Edge', 'Hyatt Regency Gurgaon', 'De Adventure Park', 'Tau DeviLal Sports Complex']","['3 Wardrobe', '1 Exhaust Fan', '3 Geyser', '13 Light', '1 Chimney', '1 Modular Kitchen', '5 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",sector 70a
815,house,BPTP Pedestal,0.9,7582.0,1187.0,Carpet area: 1187 (110.28 sq.m.),2.0,2.0,3+,"Servant Room,Others",3.0,North-East,0 to 1 Year Old,"['Ninex Mall', 'Airia Mall', 'Meditree Market', 'OMAXE Gurgaon Mall', 'Shaheed Bhagat Singh Chowk', 'Sohna Rd', ""St. Angel's Global"", 'Kunskapsskolan International', 'ISKCON', 'HDFC Bank ATM', 'Ektaa Hospitals', 'Oriental Bank of Commerce', 'De Adventure Park', 'Urusvati Museum Of Folklore', 'Leopard hills']","['1 Exhaust Fan', '3 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",sector 70a
817,house,Emaar MGF Marbella,15.1,18605.0,8116.0,Plot area 754,5.0,5.0,3+,"Pooja Room,Study Room,Servant Room,Store Room",3.0,East,0 to 1 Year Old,"['Sector 55-56 Rapid Metro Station', 'HUB 66', 'NH 48', 'Hasanpur', 'Gurugram University', 'Delhi Public School', 'Park Hospital', 'Indira Gandhi International Airport', 'Sealdah', 'Vatika Business Centre', 'The Oberoi', 'De Adventure Park', 'DLF Golf and Country Club', 'Tau DeviLal Sports Complex']",,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",sector 66
818,house,Emaar MGF Marbella,9.01,16066.0,5608.0,Plot area 521,4.0,4.0,3+,"Servant Room,Store Room",3.0,North-East,1 to 5 Year Old,"['Sector 55-56 Rapid Metro Station', 'HUB 66', 'NH 48', 'Hasanpur', 'Gurugram University', 'Delhi Public School', 'Park Hospital', 'Indira Gandhi International Airport', 'Sealdah', 'Vatika Business Centre', 'The Oberoi', 'De Adventure Park', 'DLF Golf and Country Club', 'Tau DeviLal Sports Complex']",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",sector 66
819,house,Emaar MGF Marbella,18.0,55556.0,3240.0,Plot area 360(301.01 sq.m.),4.0,4.0,3+,"Pooja Room,Study Room,Servant Room",3.0,East,5 to 10 Year Old,"['Sector 55-56 Rapid Metro Station', 'HUB 66', 'NH 48', 'Hasanpur', 'Gurugram University', 'Delhi Public School', 'Park Hospital', 'Indira Gandhi International Airport', 'Sealdah', 'Vatika Business Centre', 'The Oberoi', 'De Adventure Park', 'DLF Golf and Country Club', 'Tau DeviLal Sports Complex']","['1 Water Purifier', '16 Fan', '1 Fridge', '1 Exhaust Fan', '7 Geyser', '1 Stove', '30 Light', '10 AC', '1 Chimney', '1 Modular Kitchen', '20 Wardrobe', '1 Microwave', '1 Washing Machine', 'No Bed', 'No Curtains', 'No Dining Table', 'No Sofa', 'No TV']","['High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",sector 66
820,house,,12.0,38986.0,3078.0,Plot area 342(285.96 sq.m.),16.0,16.0,3+,"Pooja Room,Study Room,Servant Room,Store Room",4.0,,0 to 1 Year Old,"['Huda city centre metro station', 'Axis bank ATM', 'State bank of india ATM', 'Icici bank ATM', 'Icici ATM', 'Citi bank ATM', 'Axis bank ATM', 'Hdfc ATM', 'Standard chartered ATM', 'Hdfc bank ATM', 'Axis bank ATM', 'Hdfc bank ATM', 'State bank of india ATM', 'Dispencery', 'Shivam Hospital Gurgaon', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Dr. Naval Mendiratta', 'Centre For Sight Gurgaon Sector 29', 'Sukhmani Hospital Pvt. Ltd', 'Ahmed Hospital Multi Speciality', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Medanta', 'Gardian Pharmacy', 'City Medical', 'Gardian Pharmacy', 'Pernod Ricard Charitable Dispensary', 'IBP Petrol Pump', 'Bharat petroleum', 'Hdfc bank', 'Raj Restaurant', 'Fast food', 'Fast Food', 'Om Sweets', 'Bar and restaurant', 'Cafe Coffee Day', '32nd Milestone', 'Darbar', 'PWO house', 'Dhabba', 'St. Angels Jr', 'School of Inspired Leadership SOIL', 'CR Model Public School', 'Manav Rachna School', 'St. Angels Sr', 'Amity Global School', 'Salvan Public School', 'Stones2milestones', 'Manav Rachna Swimming Pool']","['20 Wardrobe', '24 Fan', '18 Geyser', '99 Light', '24 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,sector 40
821,house,,2.25,24510.0,918.0,Plot area 102(85.28 sq.m.)Built Up area: 90 sq.yards (75.25 sq.m.)Carpet area: 85 sq.yards (71.07 sq.m.),4.0,3.0,3,Study Room,3.0,North-East,1 to 5 Year Old,"['Axis bank ATM', 'State bank of india ATM', 'Standard chartered ATM', 'Icici bank ATM', 'Sukhmani Hospital Pvt. Ltd', 'Dispencery', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Meher Clinic', 'Medanta', 'Park Hospital Gurgaon', 'Vishesh Dental', 'Bones Clinic - Orthopaedics', 'Neelkanth Health Care', 'Best Urologist Atcomplete Family Clinic', 'Samvit Health Care', 'Wellness Eye Centre', 'Dr. Aruna Kalra', 'Dr. Naresh Pandita', 'Dr. Anuj Sharma', 'Wembley estate club', 'Pernod Ricard Charitable Dispensary', 'Gardian Pharmacy', 'Apollo Pharmacy', 'Gardian Pharmacy', 'Genius', 'India Oil', 'Hdfc bank', 'Hdfc bank', 'SRS Cinemas', 'Raj Restaurant', 'Haldiram', 'KFC', 'Om Sweets', 'Fast food', 'Fast Food', 'Bar and restaurant', 'Madison and Pike', 'Manav Rachna School', 'Amity Global School', 'Delhi Public School Primary Section', 'St. Angels Sr', 'Gurugram University', 'St. Angels Jr', 'CR Model Public School', 'Kamla International', 'School of Inspired Leadership SOIL', 'Manav Rachna Swimming Pool']","['3 Fan', '1 Exhaust Fan', '2 Geyser', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'False Ceiling Lighting', 'Park', 'Bank Attached Property', 'Visitor Parking', 'Security Personnel', 'Waste Disposal', 'Club house / Community Center']",sector 46
822,house,Unitech Uniworld Resorts,8.0,11428.0,7000.0,Plot area 7000(650.32 sq.m.),4.0,4.0,3+,"Pooja Room,Servant Room,Study Room,Store Room",2.0,West,10+ Year Old,"['Rajiv Chowk Mosque', 'Icici bank ATM', 'Standard chartered ATM', 'Samvit Health Care', 'Airforce Hospital', 'Medanta', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Sukhmani Hospital Pvt. Ltd', 'Vaishnavi Nursing Home', 'Best Urologist Atcomplete Family Clinic', 'Ayushman Hospital And Trauma Centre', 'Park Hospital Gurgaon', 'Wellness Eye Centre', 'Neelkanth Health Care', 'Dr. Aruna Kalra', 'Vishesh Dental', 'Smile Plus Dental Clinic', 'Dr. Anuj Sharma', 'Dr. Naresh Pandita', 'Bansal Medicare and Maternity Centre', 'Pushpanjali Hospital Gurgaon', 'Shri Ram Dental Clinic', 'Sunrise Hospital Gurgaon', 'Meher Clinic', 'Rajendra Hospital', 'Pushpanjali Hospital', 'Sai Dental Clinic', 'Nutan Dental Hospital', 'Parmar Dental Clinic & Lab', 'Road and Traffic Authority', 'Gurgaon Election Commission', 'Apollo Pharmacy', 'Gardian Pharmacy', 'Genius', 'India Oil', 'SRS Cinemas', 'SRS Cinemas', 'Hdfc bank', 'Icici bank', 'Hdfc bank', 'KFC', 'Haldiram', ""Domino's Pizza"", ""Nirula's"", 'Kendriya Vidyalaya No.2 Sohna Road', 'Delhi Public School Primary Section']",,"['Private Garden / Terrace', 'False Ceiling Lighting', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Low Density Society', 'Fitness Centre / GYM', 'Club house / Community Center']",sector 33
823,house,Vipul Tatvam Villa,5.75,22184.0,2592.0,Plot area 288(240.8 sq.m.)Built Up area: 280 sq.yards (234.12 sq.m.)Carpet area: 250 sq.yards (209.03 sq.m.),4.0,4.0,2,Servant Room,2.0,West,5 to 10 Year Old,"['Athena', 'Star Mall', 'The Sixth Element School', 'K.R.Mangalam World School', 'Medhaam Pre School & Daycare', 'Peer Baba Ki Mazar', 'HDFC Bank', 'Punjab National Bank', 'Axis Bank', 'Sushil Park', 'CoNexus.Life B35', 'World Tech Park', 'Marriott Courtyard', 'Moksh Wellness Pvt Ltd.', 'Bharat Petroleum Petrol Pump']","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['High Ceiling Height', 'Maintenance Staff', 'Separate entry for servant room', 'Fitness Centre / GYM']",sector 48
826,house,Emaar MGF Marbella,19.0,31666.0,6000.0,Plot area 9000(836.13 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),5.0,6.0,3+,"Pooja Room,Servant Room,Store Room",3.0,North-East,1 to 5 Year Old,"['Sector 55-56 Rapid Metro Station', 'HUB 66', 'NH 48', 'Hasanpur', 'Gurugram University', 'Delhi Public School', 'Park Hospital', 'Indira Gandhi International Airport', 'Sealdah', 'Vatika Business Centre', 'The Oberoi', 'De Adventure Park', 'DLF Golf and Country Club', 'Tau DeviLal Sports Complex']","['6 Wardrobe', '9 Fan', '1 Exhaust Fan', '7 Geyser', '26 Light', '10 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",sector 66
829,house,,4.25,31481.0,1350.0,Plot area 163(136.29 sq.m.)Built Up area: 161 sq.yards (134.62 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),5.0,5.0,3+,"Pooja Room,Servant Room",3.0,East,1 to 5 Year Old,"['Dlf phase 1 metro station', 'Sector 42-43 metro station', 'Sikandarpur rmrg metro station', 'New Life Church', 'Hanuman Mandir', 'Hanuman Mandir', 'Rbs ATM', 'Kotak mahindra bank ATM', 'Standard chartered ATM', 'Icici bank ATM', 'Axis bank ATM', 'Marwah Clinic', 'The Dental Lounge', 'Sitaram Bhartia', 'Divine Look Clinic Centre 1', 'Sidhesh Hospital Gurgaon', 'Sikka Maternity And Surgical Center', 'Lord Krishna Hospital', 'Max Hospital', 'Paras Hospital Gurgaon', 'Chikitsa', 'Guardian Pharmacy', 'Axis bank', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Hdfc bank', 'PVR Cinames', 'Nowhere Brewpub and cafe', 'Fat', 'Dighent cafe', 'Blue Tokai Coffee Roasters', 'Starbucks', 'Belgian Waffle', 'Drunken Monkey', 'CCD', 'Food Court', 'The Chicken Boat', 'Naveidyam', 'Balaji Vegetarian Paradise', 'Barbecue Grill', 'Sagar Ratna', 'Shophouse by Kylin', 'Cafe Tonini', 'Pizza Hut', 'Bahrisons library', 'Ncr library']","['10 Wardrobe', '1 Water Purifier', '7 Fan', '1 Exhaust Fan', '5 Geyser', '1 Stove', '31 Light', '7 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",sector 27
832,house,,8.25,45833.0,1800.0,Plot area 210(175.59 sq.m.)Built Up area: 205 sq.yards (171.41 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),12.0,12.0,3+,"Pooja Room,Servant Room",4.0,East,0 to 1 Year Old,"['Dlf phase 1 metro station', 'Sector 42-43 metro station', 'Sikandarpur rmrg metro station', 'New Life Church', 'Hanuman Mandir', 'Hanuman Mandir', 'Rbs ATM', 'Kotak mahindra bank ATM', 'Standard chartered ATM', 'Icici bank ATM', 'Axis bank ATM', 'Marwah Clinic', 'The Dental Lounge', 'Sitaram Bhartia', 'Divine Look Clinic Centre 1', 'Sidhesh Hospital Gurgaon', 'Sikka Maternity And Surgical Center', 'Lord Krishna Hospital', 'Max Hospital', 'Paras Hospital Gurgaon', 'Chikitsa', 'Guardian Pharmacy', 'Axis bank', 'Axis bank', 'Icici bank', 'Hdfc bank', 'Hdfc bank', 'PVR Cinames', 'Nowhere Brewpub and cafe', 'Fat', 'Dighent cafe', 'Blue Tokai Coffee Roasters', 'Starbucks', 'Belgian Waffle', 'Drunken Monkey', 'CCD', 'Food Court', 'The Chicken Boat', 'Naveidyam', 'Balaji Vegetarian Paradise', 'Barbecue Grill', 'Sagar Ratna', 'Shophouse by Kylin', 'Cafe Tonini', 'Pizza Hut', 'Bahrisons library', 'Ncr library']","['6 Wardrobe', '1 Water Purifier', '4 Fan', '1 Exhaust Fan', '4 Geyser', '1 Stove', '16 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",sector 27
